cls,prediction
4,0
21,21
17,17
11,0
13,0
4,18
22,0
9,0
21,0
19,19
1,1
1,1
23,0
7,0
13,0
20,19
10,0
3,0
2,17
20,0
22,0
11,0
17,18
19,19
13,0
9,0
18,17
19,19
13,0
0,1
4,0
1,1
22,0
0,2
10,0
7,0
2,1
23,0
10,0
11,0
6,0
20,0
15,0
3,0
6,0
21,19
9,0
0,0
1,1
19,0
1,1
16,0
13,0
3,0
22,0
2,2
1,2
20,3
8,0
14,0
8,0
21,0
12,0
5,0
13,0
7,0
20,20
22,0
15,0
16,0
15,0
16,0
18,1
17,0
8,0
10,0
7,0
3,0
2,17
4,0
1,1
16,0
17,17
2,17
4,0
5,0
22,0
18,17
2,2
22,0
3,0
22,0
14,0
18,17
1,1
0,0
21,0
16,0
2,18
3,0
0,0
19,0
3,0
20,19
18,0
6,0
18,17
4,0
17,3
3,0
12,0
15,0
3,18
21,0
13,0
6,0
2,1
4,0
10,0
4,0
12,0
23,0
23,0
8,0
19,19
10,0
5,0
5,0
5,0
14,0
17,1
0,0
13,0
9,0
3,0
3,0
18,3
22,0
14,0
4,0
18,1
11,0
17,17
18,3
1,0
3,0
14,0
13,0
21,0
5,0
8,0
20,0
20,19
7,0
11,0
10,0
20,0
17,3
17,3
0,2
18,17
0,2
5,0
22,0
12,0
15,0
7,0
20,19
12,0
11,0
8,0
1,0
10,0
14,0
21,0
21,0
6,0
11,2
10,0
18,17
14,0
11,0
16,0
10,0
3,0
17,1
5,0
19,19
13,0
0,0
22,18
4,0
10,0
9,0
13,0
7,0
16,0
8,0
15,0
10,0
21,0
12,0
18,17
3,0
20,19
0,0
13,0
20,3
14,0
9,0
19,19
9,0
20,3
17,0
13,0
11,0
15,0
10,0
21,0
5,0
12,0
14,0
7,0
23,0
17,3
5,0
23,0
8,0
17,3
18,17
9,0
4,0
21,0
13,0
20,0
17,3
0,2
15,0
22,0
10,0
21,0
0,0
23,0
14,0
6,0
10,0
3,0
0,1
6,0
22,18
13,0
18,1
13,0
1,1
11,0
14,0
2,3
17,1
16,0
11,0
12,0
4,0
0,2
13,0
23,0
22,0
9,0
6,0
23,0
16,0
12,0
15,0
12,0
19,20
5,0
0,1
3,0
2,0
10,0
14,0
20,19
0,0
14,0
5,0
23,0
19,19
13,0
18,17
9,0
5,0
3,0
13,0
15,0
19,0
22,0
1,1
2,0
4,2
12,0
21,0
17,1
19,19
19,19
20,19
10,0
3,3
14,0
2,1
18,3
1,17
17,17
18,0
0,0
6,0
0,0
0,0
19,19
22,0
8,0
8,0
1,1
14,0
15,0
16,0
5,0
18,3
10,0
11,0
20,19
20,19
9,0
16,0
15,0
3,0
15,0
21,19
4,0
0,1
1,1
8,0
18,3
13,0
8,0
13,0
8,0
8,0
3,0
10,0
6,0
5,0
7,0
20,19
17,3
18,1
22,0
18,3
8,0
4,0
10,0
23,0
18,0
18,0
15,0
22,0
18,18
0,0
10,0
20,19
4,0
18,17
21,19
0,2
12,0
10,0
9,0
9,0
0,0
1,2
17,3
23,0
9,0
8,0
20,19
17,17
3,2
4,0
5,0
13,0
4,0
14,0
11,0
16,0
10,2
9,0
2,1
16,0
17,17
23,0
0,3
10,0
11,0
23,0
5,0
13,0
1,1
10,0
7,18
21,19
23,0
18,1
23,0
11,0
22,0
9,0
1,18
11,0
6,0
1,1
17,0
4,0
21,0
17,17
23,0
13,0
14,0
11,0
16,0
20,3
19,18
23,0
22,0
19,19
6,0
23,0
8,0
20,0
10,0
9,0
5,0
17,3
18,3
19,19
10,2
19,3
11,0
21,19
8,0
2,18
4,0
3,0
5,0
13,0
15,0
16,0
22,2
5,0
18,0
13,0
23,2
7,0
13,0
16,0
3,0
2,1
15,0
21,0
7,0
3,18
10,0
17,18
3,3
15,0
3,0
4,0
17,17
19,0
18,3
1,1
23,0
13,0
0,0
9,0
13,0
5,0
19,19
16,0
4,0
9,0
17,3
21,0
16,1
21,0
7,0
7,0
18,17
1,17
0,0
15,0
12,0
23,0
14,0
7,0
6,0
4,0
16,0
2,1
9,0
21,0
14,0
5,0
10,0
