10-06-2025 13:17:16 RAM 14366/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,3%@1574,0%@1574,0%@1574,0%@729,0%@729,3%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.843C soc2@34.75C soc0@35.406C gpu@34.375C tj@37.843C soc1@34.875C VDD_GPU_SOC 2399mW/2399mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2612mW/2612mW
10-06-2025 13:17:17 RAM 14368/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,2%@729,1%@729,1%@729,0%@729,8%@729,0%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.812C soc2@34.75C soc0@35.25C gpu@34.375C tj@37.812C soc1@34.75C VDD_GPU_SOC 1999mW/2199mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
10-06-2025 13:17:18 RAM 14368/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.843C soc2@34.781C soc0@35.468C gpu@34.375C tj@37.843C soc1@34.781C VDD_GPU_SOC 1999mW/2132mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2478mW
10-06-2025 13:17:19 RAM 14368/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,1%@729,1%@729,0%@729,1%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.75C soc2@34.75C soc0@35.187C gpu@34.375C tj@37.75C soc1@34.937C VDD_GPU_SOC 1999mW/2099mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2461mW
10-06-2025 13:17:20 RAM 14368/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.843C soc2@34.75C soc0@35.343C gpu@34.375C tj@37.843C soc1@34.812C VDD_GPU_SOC 1999mW/2079mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2451mW
10-06-2025 13:17:21 RAM 14368/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38.062C soc2@34.75C soc0@35.25C gpu@34.375C tj@38.062C soc1@34.75C VDD_GPU_SOC 1999mW/2066mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2445mW
10-06-2025 13:17:22 RAM 14367/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,0%@729,7%@729,0%@729,0%@729,2%@729,11%@729,1%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.843C soc2@34.781C soc0@35.375C gpu@34.375C tj@37.843C soc1@34.781C VDD_GPU_SOC 1999mW/2056mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2440mW
10-06-2025 13:17:23 RAM 14367/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.687C soc2@34.718C soc0@35.312C gpu@34.375C tj@38C soc1@34.75C VDD_GPU_SOC 1999mW/2049mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2436mW
10-06-2025 13:17:24 RAM 14367/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,1%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.781C soc2@34.75C soc0@35.218C gpu@34.375C tj@37.781C soc1@34.937C VDD_GPU_SOC 1999mW/2043mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2433mW
10-06-2025 13:17:26 RAM 14371/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@1728,2%@823,3%@837,19%@960,0%@729,1%@729,2%@729,1%@729,off,off,off,off] EMC_FREQ 3%@204 GR3D_FREQ 33%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38.093C soc2@34.843C soc0@35.406C gpu@33.968C tj@37.843C soc1@34.812C VDD_GPU_SOC 3598mW/2199mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2913mW/2481mW
10-06-2025 13:17:27 RAM 14370/62841MB (lfb 896x4MB) SWAP 0/31420MB (cached 0MB) CPU [18%@1728,18%@1190,22%@1190,75%@1190,22%@1574,23%@1574,24%@1574,22%@1574,off,off,off,off] EMC_FREQ 5%@665 GR3D_FREQ 38%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38.25C soc2@34.812C soc0@35.437C gpu@34.125C tj@37.937C soc1@34.906C VDD_GPU_SOC 3198mW/2290mW VDD_CPU_CV 799mW/435mW VIN_SYS_5V0 3220mW/2548mW
