09-29-2025 14:33:35 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@883,0%@729,0%@729,0%@729,0%@883,0%@883,0%@883,0%@883,off,off,off,off] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.343C soc2@40C soc0@40.5C gpu@39.406C tj@43.343C soc1@39.875C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 1199mW/1199mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:33:35 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [25%@1728,0%@729,0%@729,14%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 25%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C soc2@39.937C soc0@40.531C gpu@39.187C tj@43.031C soc1@39.875C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 1199mW/1199mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:33:35 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,14%@729,0%@729,off,off,off,off] EMC_FREQ 23%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C soc2@40C soc0@40.468C gpu@39.437C tj@43.031C soc1@40C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/1066mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,14%@729,14%@729,14%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 22%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.125C soc2@39.968C soc0@40.468C gpu@39.5C tj@43.125C soc1@39.812C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/999mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 21%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.062C soc2@39.937C soc0@40.531C gpu@39.562C tj@43.406C soc1@39.812C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/959mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [14%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,25%@729,0%@729,off,off,off,off] EMC_FREQ 20%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.156C soc2@39.968C soc0@40.5C gpu@39.156C tj@43.156C soc1@39.812C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/932mW VIN_SYS_5V0 3321mW/3404mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43C soc2@39.937C soc0@40.531C gpu@39.187C tj@43C soc1@39.906C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/913mW VIN_SYS_5V0 3321mW/3392mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,14%@729,0%@729,0%@729,0%@729,0%@729,16%@729,0%@729,off,off,off,off] EMC_FREQ 19%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.062C soc2@39.906C soc0@40.5C gpu@39.25C tj@43.062C soc1@39.937C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/899mW VIN_SYS_5V0 3321mW/3384mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 18%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C soc2@39.937C soc0@40.406C gpu@39.218C tj@43.031C soc1@39.843C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/888mW VIN_SYS_5V0 3321mW/3377mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 17%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.343C soc2@40.031C soc0@40.562C gpu@39.218C tj@43.343C soc1@39.812C VDD_GPU_SOC 2399mW/2758mW VDD_CPU_CV 799mW/879mW VIN_SYS_5V0 3321mW/3371mW
09-29-2025 14:33:36 RAM 15677/62841MB (lfb 81x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,16%@729,0%@729,off,off,off,off] EMC_FREQ 16%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.125C soc2@40C soc0@40.625C gpu@39.468C tj@43.125C soc1@39.875C VDD_GPU_SOC 2399mW/2725mW VDD_CPU_CV 799mW/872mW VIN_SYS_5V0 3321mW/3366mW
